property_type,price,bond,address,feature_bedroom,feature_bathroom,feature_parking,agent_brand,agent_name,available_date,property_details
Apartment,425,"Bond $2,550","5/1796-1800  Dandenong Road, Clayton",2,2,1,Woodards - Carnegie,Agent: Carnegie Leasing,Open tomorrow 5:15pm View allAvailable 06 Dec 2019,"** PLEASE CLICK ON ""EMAIL AGENT"" OR ""BOOK INSPECTION"" TO REGISTER FOR A VIEWING **Fantastic two bedroom, two bathroom apartment with remote control gates to the car park, secure intercom system, split system a/c unit in the living area, modern kitchen with gas stainless steel appliances, built in robes in both bedrooms and parquetry floors throughout the living area. With everything at your doorstep and for those who want space and an easy lifestyle then this apartment is the one for you. Be quick and make it yours today! Located directly across the road from Monash University and with Clayton Shops and Railway Station at your doorstep, this lifestyle provides comfort as well as convenience! ** YOU MUST REGISTER FOR AN INSPECTION PRIOR TO VIEWING **Open for Inspection times and Property Availability is subject to change without notice. We highly recommend registering for an inspection you are going to attend to avoid disappointment for cancellations. If you are registered for an inspection you will be notified by sms if the inspection is cancelled."
Villa,560,"Bond $3,360","2/22 Alice Street, Clayton",3,2,2,Your Property Manager - Sandringham,Agent: Leasing Team,Available 13 Nov 2019,"PLEASE SEE DETAILS BELOW ON HOW TO REGISTER TO ATTEND AN INSPECTION & TO RECEIVE UPDATES REGARDING THIS PROPERTY The team at Your Property Manager are proud to represent this low-maintenance, three bedroom villa privately positioned at the rear of a quiet block of just two. This sizeable, single level updated villa comprises of a modern styled kitchen and neutral toned bathrooms radiating with natural light throughout and presents a fantastic opportunity for a medical professional, couple, or small family. Situated over one level, the property offers:-- Front entrance security door - Expansive open plan living zone flowing into adjacent dining space - A well designed classic white gloss kitchen with stone benchtops, wide breakfast bar, gas appliances, built-in-pantry and ample cupboard storage - Spacious and sun filled Master bedroom with a rear yard outlook, modern timber flooring,block-out roller blinds and walk-in wardrobe - Ensuite to Master in neutral colours with shower, toilet and vanity offering good under bench storage - Well-proportioned 2nd & 3rd bedrooms with built-in-robes and block-out roller blinds - Central main bathroom with bath with head held rose, shower, vanity with under bench storage and large wall mirror - Convenience of a separate internal laundry with wash trough, storage cupboard and space for a top or front load washing machine - Private outdoor entertaining area lead out through glass sliding doors from indoor living zone Great additions to this home include:-Single lock-up garage with additional car space, gas ducted heating, split system heating & cooling, ample natural light, easy-care modern timber flooring and LED downlights throughout.This gem represents living conveniently located within walking distance to Clayton Road shops, Clayton Train Station, Monash Medical Centre, Monash University, Clayton North Primary and a short distance to the entrance of Monash Freeway. Lease terms:12+ months lease6 week bond requiredPets considered upon application Arrange an inspection time that suits you!Simply click on the blue 'Book Inspection' button to arrange a suitable viewing time, or use the 'Email Agent' facility.Enter your full details and a link will be sent to you enabling you to register for one of the available times that suit YOU.If no one registers for an inspection time, the inspection may not go ahead.By registering, you will INSTANTLY be informed of any updates, changes or cancellations to your appointment. You MUST enter your details to book an inspection time. Don't miss out - book for an inspection time today! For more information about this property, call the friendly and professional Leasing Team at Your Property Manager on 0411 318 747. We'd love to help you find your new home."
Apartment,375,"Bond $2,250","18/1 Greenfield Drive, Clayton",1,1,1,McGrath - Blackburn,Ashleigh King,Open Tue 19 Nov 5:15pm View allAvailable 26 Nov 2019,"This one bedroom plus study apartment is in prime location. The estate is located within walking distance from Monash University, Monash Medical Centre and the Clayton train station with easy access to the city via Princes Highway. This property is a must for the inspection list.We highly recommend registering for an open for inspection. If the registered time is not suitable please click Book an Inspection or Contact Agent. Registering for an inspection will allow us to notify you by sms of any changes to open times and available dates as these are subject to change without notice. Photo identification is required at all inspections.- Master bedroom with one robe - Open plan study- Fully appointed kitchen with stainless steel appliances - Large open plan living- Generous balcony overlooking the gardens and swimming pool- One allocated carport carspace"
Apartment,530,"Bond $2,303","101/130 Wellington Road, Clayton",2,2,1,Harcourts - Judd White,Joyce Chang,Available 26 Nov 2019,"Fantastic modern apartments located only minutes to Monash university, public transport, Springvale home maker center including IKEA, JB Hifi, Harvey Norman and a range of other shops and cafes. Offering two spacious bedrooms (one with full ensuite),  reverse cycle heating/cooling, balcony, car space and storage cage.  Register now and don't miss this opportunity!!!**To arrange an inspection time for this property please click the virtual tour link below and register your details. You MUST register for an inspection time otherwise it will not go ahead. If there is no appointment time available/suitable, please still register and we will notify you as soon as a time becomes available. If you are viewing this property on a mobile device please visit our website****Photo ID required for all inspections**"
Townhouse,800,"Bond $3,476","3/47-51 Evelyn Street, Clayton",4,3,2,Buxton - Oakleigh,Rosanna Matteo,Available 25 Nov 2019,"Stunning Townhouse with everything Clayton has to offer at your doorstep!!!! A rare find in this pocket of Clayton, this Architecturally designed two Storey townhouse offer a low maintenance lifestyle with high end quality features and fittings! High Ceilings on both levels, Laminate Timber Flooring in Living Areas, Carpeted Bedrooms, Ducted Heating and Cooling, Tiled Bathrooms, Full Stainless Steel Appliances, Caesar Stone Benchtops in a spacious Open Plan Kitchen and Living Area. Four Bedrooms – Master with Ensuite and large BIR’s, Double Remote Controlled Garage Doors plus Loads more. Perfectly positioned close to Bus Stops, Clayton train Station, Clayton Shopping Precinct, Monash University, Monash Medical Centre/Children’s hospital and surrounded by Fregon and Evelyn Street Reserves!!!  Register now to view!!!Features include:Downstairs:•	Bedroom 1 with BIR•	Bathroom with Shower•	State of the Art Kitchen with Caesar Stone Bench Top •	Open Plan Living/Kitchen Area•	Euro Laundry •	Double Remote Garage with internal access•	Large Courtyard•	Under Staircase StorageUpstairs:•	Master Bedroom with large BIR and Ensuite•	Two Further Bedroom with BIR•	Main Bathroom with Bath •	Upstairs RetreatFurther Features Include:•	Laminate Timber Floors•	Carpeted bedrooms•	High Ceilings•	Dishwasher•	High Ceilings•	Ducted Heating and Cooling•	Full Stainless Steel Appliances•	Water Tank•	ShedDo not miss out on viewing this property – It won’t last - Register Now.***We use an online booking system which operates 24/7. To book in the next available inspection, click on BOOK AN INSPECTION TIME and pick a time suitable for you, this will also register you. By registering we can notify you of any changes or cancellations***For further inquiries please call Buxton Oakleigh on 9564 2288. PHOTO 'ID' AND PHONE NUMBER MUST BE PROVIDED WITH ALL ENQUIRIES."
Apartment,330.00,"Bond $1,434","101/90 Wellington Road, Clayton",1,1,1,CD Real Estate - GLEN IRIS,Lucy Christian,Available 24 Nov 2019,"This modern studio apartment comes furnished with modern facilities such as dishwasher, gas stove top, ample cupboard space, well designed bathroom with inbuilt washing machine and dryer. Split system offering heating and cooling as well as ceiling fan, enjoy a sun bathed balcony, built in robes and more. This studio apartment is must see."
Apartment,443,"Bond $1,925","7/659 Blackburn Road, Clayton",2,1,1,Shape Property - ARMADALE,Maria Ravanal,Available 17 Jan 2020,"STUDENT ACCOMODATION- 300m to Monash University Clayton Campus.- Large master bedroom with built-in-robe.- Second bedroom with built-in-robe.- Modern kitchen, European apps (Stone bench, gas & DW).- Versatile living zones, smart design.- Immaculately finished throughout.- Convenient central bathroom.- Internal laundry facilities.- Secure remote garage, plus bike rack.- Video intercom & very secure.Perfectly positioned & highly regarded by students - close to all transport, shopping, walk to University campus plus access the Melbourne CBD within 25 minutes. "
Unit,445,"Bond $1,934","2/1498 North Road, Clayton",3,1,2,Harcourts - Judd White,Karen Zhang,Available 30 Nov 2019,"This home is inviting, fresh and comfortable, it would be perfect for couples or small family. Compromising of a large living area, leading into the kitchen with a freestanding gas oven and plenty of cupboard space. Large separate laundry room, and extra toilet downstairs. Upstairs there are 3 bedrooms all with built in robes, master with a lovely balcony that captures the afternoon sunshine shine. The main bathroom is also upstairs with shower and basin on one side and bath and toilet on the other with door separating them for extra privacy and practicality. There is also a good-sized yard area at the front of the property, a small court area to the rear and, two car spots, one of which is undercover. This property is in a great location close to public transport (short drive to Huntingdale Train Station and Clayton Train Station).**photo ID required for all inspections****open times are subject to change without notice, register your interest to stay informed****please ensure you confirm your attendance for inspections otherwise the inspection may not go ahead**"
Townhouse,600,"Bond $3,600","1/53 Fulton Street, Clayton",4,3,1,Buxton - Box Hill,Mark Lu,Available 20 Nov 2019,"**** IMPORTANT! REGISTER TO INSPECT PROPERTIES **** Please register your details and you will be INSTANTLY informed of any updates, changes or cancellations to inspections. If no one registers for an inspection time then that inspection does not proceed. Please note that we do not release keys. UNIT 1Brilliantly located 3 km from Monash University-Clayton, 2 km from Monash Children’s Hospital, 7 minute drive to Clayton shopping centre. Easy access to Monash Children’s hospital, train station and Monash M1 Freeway.  This Spacious townhouse offers all the convenience and facility family need. This Four Bedroom townhouse comprise Ground floor -     Master bedroom with ensuite -     Open planed kitchen featuring stone bench top and quality appliances including oven, gas stove, dishwasher, breakfast Bar -     Open pan living Spacious -     Powder room -     North facing living room First Floor -      3 carpet bedrooms all with built in robe, master with ensuite -      Modern Main bathroom with separate toilet Further feature including -	Timber floor for the ground floor living and kitchen area -	Split heating-cooling air-conditioning in each bedroom -	Landscaped backyard with paved entertainment area -	Garden shed -	Single Garage with remote door To secure yourself an inspection, please click “Book an inspection time” on this web listing.  For enquiries click “email agent”. To apply online via 1form click on the “Apply Online” icon and follow the steps."
Townhouse,520,"Bond $3,210","4 Brushbox Court, Clayton",3,1,2,Ray White - Glen Waverley,Sarah Xu,Available 07 Dec 2019,"A rare opportunity to dive into a cool summer with this amazing townhouse, featuring:• New air conditioners (to be installed before December)• Easy access to communal swimming pool• Fly screens on all windows• Securely nestled in a gated estate• Panorama street view• Great natural lighting all around north facing open-plan living and dining)• Lovely morning sun from the master bedroom balcony• Minimum maintenance private courtyard and front garden• A short walk to transport, Monash Medical Centre and Monash University• Stainless steel appliances including a new Bosch dishwasherBe quick!  Set at the end of Panorama Street and finished with luxury extras like stainless steel appliances, electric panel heating, tandem remote-access car accommodation, this is a brilliant property and is only a short walk to transport, Monash Medical Centre and Monash University all with peace, privacy and premier quality.Please click the VIRTUAL TOUR tab above to book a time to inspect this property and register your interest.Photo ID required at all open for inspections."
Unit,320,"Bond $1,386","5/8 Lillian Street, Clayton",2,1,2,Lazogas Real Estate - Oakleigh,Agent: Steve Zarokostas,Available 26 Nov 2019,"Two bedroom spacious unit is conveniently located close to shops and Clayton station and consists of lounge, kitchen with gas stove, wall to wall carpets, bedrooms with built in robes,and carport."
Unit,360,"Bond $2,160","1/8 Lillian Street, Clayton",2,1,1,Lazogas Real Estate - Oakleigh,Agent: Steve Zarokostas,Available 26 Nov 2019,"Two bedroom spacious unit is conveniently located close to shops and Clayton station and consists of lounge, kitchen with gas stove, wall to wall carpets, bedrooms with built in robes,and carport."
Unit,380,"Bond $1,651","7/18-20 Francis Street, Clayton",2,1,1,Buxton - Oakleigh,Agent: Talia Karagaslis,Available now,"This home is perfectly located in the most sought after location of Clayton. Comprising of two bedrooms with BIR’s, open plan kitchen/meals area, formal lounge area, main bathroom and low maintenance courtyard. Close to Monash Medical Centre, St Peter’s Primary School, Monash University, Clayton Train Station and Clayton local Shopping Precinct.Features include:•	Main Bedroom with BIR•	Second Bedroom with BIR•	Open Plan Kitchen and Meals Area•	Formal Lounge Area•	Main Bathroom with Bath•	Laundry•	Private and Low Maintenance Courtyard•	SLUG with extra car spaceFurther Features Include:•	Ducted Heating•	Air Conditioner in Main BedroomDo not miss out on viewing this property – It won’t last - Register Now.***We use an online booking system which operates 24/7. To book in the next available inspection, click on BOOK AN INSPECTION TIME and pick a time suitable for you, this will also register you. By registering we can notify you of any changes or cancellations***For further inquiries please call Buxton Oakleigh on 9564 2288. PHOTO 'ID' AND PHONE NUMBER MUST BE PROVIDED WITH ALL ENQUIRIES."
Unit,400,"Bond $1,738","2/26 Frank Avenue, Clayton",3,1,2,Woodards - Oakleigh,Agent: Monica Beilby,Available now,"Please note, to APPLY for a property, you are required to INSPECT the property FIRST.This recently update unit is only one of two on the block and  is located in a quiet street close to local shops, schools, Public Transport, parks & wetlands.Upon entry you will be impressed with the open plan living including spacious lounge & dining areas, hostess kitchen with plenty of cupboard and bench space to please even the most discerning chef. There are three good sized bedrooms, all with built in robes and a two way bathroom allowing access to the master bedroom.With extra features including ducted heating throughout, enclosed rear yard, lock up garage and more, this home is sure to impress!"
Townhouse,520,"Bond $2,260","4/36 Edinburgh Street, Clayton",2,2,1,First National Clayton - CLAYTON,First National Clayton,Open tomorrow 4:10pm View allAvailable now,"This brand new stunning townhouse is located very close to shops, walking distance to Clayton train station, Monash Medical Centre and Monash Uni. Inspection is a must, hurry this won't last long! Hidden away at the back of the block, the townhouse offers the following features:- Spacious open plan living/dining area with split system- Kitchen with brand new SMEG appliances- 2 bedrooms with split system and BIRs- Main bathroom with separate shower and bathtub- Ensuite to master bedroom- Powder room downstairs- European laundry- Wall to wall carpet upstairs, floorboards downstairs- Low maintenance courtyard with undercover pergola area- Single garage with internal accessFridge space cavity measurements:W: 33cm approxD: 26cm approxH: 72cm approx***IMPORTANT - YOU MUST REGISTER TO INSPECT***Simply click on 'Book an Inspection Time' or 'Contact Agent' to register and we will respond with available appointment times. By registering, you will be instantly informed of any updates, changes or cancellations for your appointment.DISCLAIMERS*It is a requirement to inspect the property prior to applying.**Inspection times and property availability are subject to change or cancellation without notice. We highly recommend registering for an inspection should you wish to attend to avoid disappointment for any changes or cancellations.***Whilst First National Clayton has taken care in the preparation of the photos and description of the property, interested person(s) are advised to make their own enquiries and satisfy themselves in all respects of the property they wish to lease."
Apartment,399,"Bond $1,733","318/59 Autumn Terrace, Clayton",2,2,1,Ray White - Oakleigh,Matthew Swinnerton,Open Wed 13 Nov 5:15pm View allAvailable 02 Dec 2019,"Modern apartment within 1 minute walking distance to Westall Station, 5 minutes walking to Westall Primary & Secondary College, Bus stops (Route 824) & Shop Street on Rosebank Avenue, a short drive to IKEA Homemaker Centre, One station away to Clayton Train Station with Monash Medical Centre.* Two bedrooms with built in robes* Main bedroom with Ensuite* Modern Kitchen with gas cooking appliances & dishwasher* Spacious living/dining area* Split system unit in living area* Private spacious balcony* Main bathroom with separate shower and Laundry facilities* Single car space * Intercom system"
House,450,"Bond $2,250","41 Margaret Street, Clayton",3,1,1,Barry Plant (Oakleigh) Pty Ltd - Oakleigh,Celeste Hall,Available now,"The home has hardwood floorboards, high ceilings, spacious kitchen, living and dining areas. Bathroom with shower and bath, 3 decently sized bedrooms, standard laundry & 1950's character throughout.Beautiful gardens and spacious backyard with under cover area perfect for entertaining! Large garage.Situated on the Oakleigh South border of Clayton, the home is extremely convenient as Monash University is 1.7 kms away, Monash Hospital is 800 meters away and the train station and local shopping strip are only 1.4kms and all within walking distance. The home offers easy access to the local freeway and highways and is surrounded by schools, parklands, golf courses and recreational facilities to meet most active lifestyles.Arranging an inspection is easy!To book a time to inspect, simply click on the 'Book an Inspection Time' button OR click 'Contact Agent', email through your details so we can reply with available appointment times for you to register to inspect. By registering, you will be INSTANTLY informed of any updates, changes or cancellations for your appointment."
Unit,520,"Bond $2,259","2/40 Kionga Street, Clayton",3,2,2,Ray White - Oakleigh,Anthony Lu,Open Thu 14 Nov 4:00pm View allAvailable 30 Nov 2019,"This superbly presented quality single story brick veneer home comprises of the following -Very large living areas and exceptional privacy being the rear of only two on the block -Modern open kitchen and separate dining area with stainless steel cooking appliances-Three spacious bedrooms 2 with built-in-robes-Master bedroom with ensuite and walk-in-robes-Modern family bathroom with separate toilet and laundry room-private courtyard with low maintenance, perfect for entertaining family and friends.-Ducted heating and cooling system, double remote lock-up garage with access to backyard, Please check the website for inspection times"
Studio,175,Bond $761,"3/5A Browns Road, Clayton",1,3,1,Ray White - Oakleigh,Anthony Lu,Open Thu 14 Nov 12:30pm View allAvailable now,"This property is situated within minutes from bus stops, Monash University and Monash Medical Centre. it comprises of:* Spacious room/bedroom with BIR'S* Shared dining area* Shared shared Kitchen/meals area with ample storage space* 3 bathrooms* 3 WC'S* Separate shared laundry* ALL BILLS ARE INCLUDEDAvailable to view as per the advertised inspection times or call us today for an appointment!"
Apartment,460,"Bond $1,998","6/46 Kanooka Grove, Clayton",2,1,1,Ray White - Oakleigh,Matthew Swinnerton,Open Wed 13 Nov 3:05pm View allAvailable now,"This boutique apartment complex is located opposite Monash Medical Centre and Metres walk to Clayton train station, bus stop, parks, schools and Monash Medical Centre this apartment is not to be missed.*Two spacious bedrooms with built in robes*Open plan living with split system unit *Modern kitchen with gas cooking, oven and ample storage space*Central main modern bathroom with separate shower *European laundry*Sliding door that opens to your own private balcony*One secured underground car space and storage facility.  *Security intercom entrance and wide entrance hallway to the complex."
Apartment,450,"Bond $1,956","102/40 Bettina Street, Clayton",2,1,1,Harcourts - Judd White,Steven Ker,Available 25 Nov 2019,"First floor apartment with balcony consists of 2 bedroom's with BIR'S, fully equipped kitchen with dishwasher and stunning breakfast bar, light and bright living area with split system overlooking leading out to the balcony, single car space with storage cage. Minutes away from Monash University!"
Townhouse,590,"Bond $2,564","4 Main Road, Clayton",3,2,2,Ray White - Oakleigh,Anthony Lu,Open Thu 14 Nov 4:45pm View allAvailable 22 Nov 2019,"Only minutes to Clayton train station, bus stop, parks, Monash Medical Centre, shops and Monash University. Near new town residence with own street frontage* 3 Spacious bedrooms all with built in robes & upstairs* Main bedroom with en-suite* Spacious open plan living/area* Formal living area or large open study area* New kitchen with gas cooking & dishwasher* Central new bathroom with separate shower & bath tub* Separate laundry with cupboards* Ducted heating* Landscaped rear yard* Single lock up garage plus one car space"
Apartment,340,"Bond $1,477","7/126 Wellington Road, Clayton",2,1,1,Ray White - Oakleigh,Anthony Lu,Open Thu 14 Nov 12:00pm View allAvailable 25 Nov 2019,"Located within walking distance to Monash University and park lands, this home comprises of:- two spacious bedrooms with built in robes- lounge area with balcony- modern kitchen with stainless steel appliances - separate bathroom with separate toilet and laundry facilities- one open car spaceAvailable to view now as per our open for inspections times OR call us today for an appointment"
Unit,475,"Bond $2,064","1/1426 North Road, Clayton",3,1,2,Ray White - Oakleigh,Johnson Tan,Open Fri 15 Nov 2:00pm View allAvailable 01 Dec 2019,"* Three generous-sized Bedrooms with Built-In Robes installed * One stylish Bathroom with twin shower and toilet* One separated Toilet is provided next to the Bathroom* Renovated Kitchen with gas stove and oven provided* Split system covers the Kitchen/Meal area* Specious Living Room with Electric Fireplace installed * Gas ducted heating throughout * European Laundry* Security alarm* Private low-maintenance rear Courtyard* Single Garage* Within Clayton North Primary, South Oakleigh Secondary school zone * Close to Monash Medical Centre, Monash University and John Monash Science School* Minutes walk to Bus 630, 900, 631, 703 and 733 * Easy access to clayton shops, Clayton station and Huntingdale station* Minutes drive to Clayton and Chadstone Shopping Centre================================================Please note that the electric gate in the middle of the driveway will be removed ================================================Available Date: 1st December"
Townhouse,820,"Bond $4,100","3/33 Hourigan Avenue, Clayton",4,2,2,Harcourts First,Agent: Johnny Zhang,Available 05 Dec 2019,"This modern two story, four bedroom town house is in a great location only moments to Monash University and Monash Hospital. The entrance hall leads you to a spacious open plan lounge, dining and kitchen area leading out to a rear private courtyard. This property also comprises central gas heating, double lock up garage and much more. Impressive dimensions of this spacious property. Idyllically situated a walk to St Peter's and Clayton primary schools, Monash Medical Centre, Clayton station and shops and minutes to Monash University. Featuring 4 bedrooms with built in robes - Gas cooking - 2 bathrooms and 3 toliet - 2 Air conditioners"
Townhouse,420,"Bond $1,825","34 Colonel Street, Clayton",3,1,1,First National Clayton - CLAYTON,Agent: First National Clayton,Open Wed 13 Nov 5:00pm View allAvailable 30 Nov 2019,"This 3 bedroom double storey townhouse is located walking distance to Monash Medical Centre and is close to train station and shopping precinct.This brick veneer townhouse offers:- Spacious lounge- Kitchen with gas cooking and meals area- 3 bedrooms - Central bathroom, 2 toilet- Wall to wall carpet- Secure rear courtyard - Single lock up garage***IMPORTANT - YOU MUST REGISTER TO INSPECT***Simply click on 'Book an Inspection Time' or 'Contact Agent' to register and we will respond with available appointment times. By registering, you will be instantly informed of any updates, changes or cancellations for your appointment.DISCLAIMERS*It is a requirement to inspect the property prior to applying.**Inspection times and property availability are subject to change or cancellation without notice. We highly recommend registering for an inspection should you wish to attend to avoid disappointment for any changes or cancellations.***Whilst First National Clayton has taken care in the preparation of the photos and description of the property, interested person(s) are advised to make their own enquiries and satisfy themselves in all respects of the property they wish to lease."
